tape measure,tape measure,卷尺,/teɪp ˈmeʒə/,tools,,tape measure
wheelbarrow,wheelbarrow,手推车,/ˈwiːlbærəʊ/,tools,,wheelbarrow
telephone,telephone,电话,/ˈtelɪfəʊn/,electronics,260e_fe0f,
desktop,desktop,台式电脑,/ˈdesktɒp/,electronics,1f5a5_fe0f,
keyboard,keyboard,键盘,/ˈkiːbɔːd/,electronics,2328_fe0f,
mouse2,mouse,鼠标,/maʊs/,electronics,1f5b1_fe0f,
printer,printer,打印机,/ˈprɪntə/,electronics,1f5a8_fe0f,
video camera,video camera,摄像机,/ˈvɪdiəʊ ˈkæmərə/,electronics,1f3a5,
radio,radio,收音机,/ˈreɪdiəʊ/,electronics,1f4fb,
game controller,game controller,游戏手柄,/ɡeɪm kənˈtrəʊlə/,electronics,1f3ae,
joystick,joystick,摇杆,/ˈdʒɔɪstɪk/,electronics,1f579_fe0f,
battery,battery,电池,/ˈbætri/,electronics,1f50b,
plug,plug,插头,/plʌɡ/,electronics,1f50c,
CD,CD,光盘,/ˌsiː ˈdiː/,electronics,1f4bf,
cassette,cassette,磁带,/kəˈset/,electronics,1f4fc,
floppy,floppy,软盘,/ˈflɒpi/,electronics,1f4be,
satellite dish,satellite dish,卫星天线,/ˈsætəlaɪt dɪʃ/,electronics,1f4e1,
tablet,tablet,平板电脑,/ˈtæblət/,electronics,,tablet
remote control,remote control,遥控器,/rɪˈməʊt kənˈtrəʊl/,electronics,,remote control
speaker,speaker,音箱,/ˈspiːkə/,electronics,,speaker
smartwatch,smartwatch,智能手表,/ˈsmɑːtwɒtʃ/,electronics,,smartwatch
e-reader,e-reader,电子书阅读器,/ˈiː riːdə/,electronics,,e-reader
drone,drone,无人机,/drəʊn/,electronics,,drone
bandage,bandage,创可贴,/ˈbændɪdʒ/,health,1fa79,
pill,pill,药片,/pɪl/,health,1f48a,
stethoscope,stethoscope,听诊器,/ˈsteθəskəʊp/,health,1fa7a,
germ,germ,细菌,/dʒɜːm/,health,1f9a0,
medicine,medicine,药,/ˈmedsn/,health,,medicine
fever,fever,发烧,/ˈfiːvə/,health,,fever
cough,cough,咳嗽,/kɒf/,health,,cough
sneeze,sneeze,打喷嚏,/sniːz/,health,,sneeze
flu,flu,流感,/fluː/,health,,flu
injection,injection,打针,/ɪnˈdʒekʃn/,health,,injection
dizzy,dizzy,头晕,/ˈdɪzi/,health,,dizzy
healthy,healthy,健康,/ˈhelθi/,health,,healthy
headache,headache,头疼,/ˈhedeɪk/,health,,headache
vitamin,vitamin,维生素,/ˈvɪtəmɪn/,health,,vitamin
Christmas tree,Christmas tree,圣诞树,/ˈkrɪsməs triː/,festivals,1f384,
Halloween pumpkin,Halloween pumpkin,万圣节南瓜,/ˌhæləʊˈiːn ˈpʌmpkɪn/,festivals,1f383,
confetti,confetti,彩色纸屑,/kənˈfeti/,festivals,1f38a,
lantern,lantern,灯笼,/ˈlæntən/,festivals,1f3ee,
firecracker,firecracker,鞭炮,/ˈfaɪəkrækə/,festivals,1f9e8,
fireworks,fireworks,烟花,/ˈfaɪəwɜːks/,festivals,1f386,
sparkler,sparkler,仙女棒,/ˈspɑːklə/,festivals,1f387,
mooncake,mooncake,月饼,/ˈmuːnkeɪk/,festivals,1f96e,
red envelope,red envelope,红包,/red ˈenvələʊp/,festivals,1f9e7,
pinata,pinata,皮纳塔,/pɪˈnjɑːtə/,festivals,1fa85,
Christmas stocking,Christmas stocking,圣诞袜,/ˈkrɪsməs ˈstɒkɪŋ/,festivals,,Christmas stocking
candy cane,candy cane,拐杖糖,/ˈkændi keɪn/,festivals,,candy cane
party hat,party hat,派对帽,/ˈpɑːti hæt/,festivals,,party hat
Spring Festival,Spring Festival,春节,/sprɪŋ ˈfestɪvl/,festivals,,Spring Festival
Mid-Autumn Festival,Mid-Autumn Festival,中秋节,/mɪd ˈɔːtəm ˈfestɪvl/,festivals,,Mid-Autumn Festival
Dragon Boat Festival,Dragon Boat Festival,端午节,/ˈdræɡən bəʊt ˈfestɪvl/,festivals,,Dragon Boat Festival
Lantern Festival,Lantern Festival,元宵节,/ˈlæntən ˈfestɪvl/,festivals,,Lantern Festival
Easter,Easter,复活节,/ˈiːstə/,festivals,,Easter
thumbs up,thumbs up,点赞,/θʌmz ʌp/,actions,1f44d,
thumbs down,thumbs down,差评,/θʌmz daʊn/,actions,1f44e,
OK hand,OK hand,OK手势,/ˌəʊˈkeɪ hænd/,actions,1f44c,
victory,victory,胜利手势,/ˈvɪktəri/,actions,270c_fe0f,
fist bump,fist bump,碰拳,/fɪst bʌmp/,actions,1f44a,
wave goodbye,wave goodbye,挥手告别,/weɪv ɡədˈbaɪ/,actions,1f44b,
point,point,指向,/pɔɪnt/,actions,1f449,
handshake,handshake,握手,/ˈhændʃeɪk/,actions,1f91d,
shrug,shrug,耸肩,/ʃrʌɡ/,actions,1f937,
facepalm,facepalm,捂脸,/ˈfeɪspɑːm/,actions,1f926,
