id,en,zh,phonetic,category,emoji,draw
sweetpotato,sweet potato,红薯,/ˈswiːt pəˈteɪtəʊ/,vegetables,1f360,
egg,egg,鸡蛋,/eɡ/,food,1f95a,
bread,bread,面包,/bred/,food,1f35e,
hamburger,hamburger,汉堡,/ˈhæmbɜːɡər/,food,1f354,
fries,fries,薯条,/fraɪz/,food,1f35f,
pizza,pizza,披萨,/ˈpiːtsə/,food,1f355,
hotdog,hot dog,热狗,/ˈhɒt dɒɡ/,food,1f32d,
milk,milk,牛奶,/mɪlk/,food,1f95b,
cake,cake,蛋糕,/keɪk/,food,1f370,
icecream,ice cream,冰淇淋,/ˌaɪs ˈkriːm/,food,1f366,
cookie,cookie,饼干,/ˈkʊki/,food,1f36a,
donut,donut,甜甜圈,/ˈdəʊnʌt/,food,1f369,
chocolate,chocolate,巧克力,/ˈtʃɒklət/,food,1f36b,
candy,candy,糖果,/ˈkændi/,food,1f36c,
honey,honey,蜂蜜,/ˈhʌni/,food,1f36f,
noodles,noodles,面条,/ˈnuːdlz/,food,1f35c,
rice,rice,米饭,/raɪs/,food,1f35a,
sushi,sushi,寿司,/ˈsuːʃi/,food,1f363,
pasta,pasta,意面,/ˈpæstə/,food,1f35d,
drumstick,drumstick,鸡腿,/ˈdrʌmstɪk/,food,1f357,
cheese,cheese,奶酪,/tʃiːz/,food,1f9c0,
car,car,小汽车,/kɑːr/,vehicles,1f697,
taxi,taxi,出租车,/ˈtæksi/,vehicles,1f695,
bus,bus,公共汽车,/bʌs/,vehicles,1f68c,
van,van,面包车,/væn/,vehicles,1f690,
ambulance,ambulance,救护车,/ˈæmbjələns/,vehicles,1f691,
firetruck,fire truck,消防车,/ˈfaɪər trʌk/,vehicles,1f692,
policecar,police car,警车,/pəˈliːs kɑːr/,vehicles,1f693,
truck,truck,卡车,/trʌk/,vehicles,1f69a,
tractor,tractor,拖拉机,/ˈtræktər/,vehicles,1f69c,
bicycle,bicycle,自行车,/ˈbaɪsɪkl/,vehicles,1f6b2,
scooter,scooter,滑板车,/ˈskuːtər/,vehicles,1f6f4,
motorcycle,motorcycle,摩托车,/ˈməʊtəsaɪkl/,vehicles,1f3cd,
airplane,airplane,飞机,/ˈeəpleɪn/,vehicles,2708_fe0f,
helicopter,helicopter,直升机,/ˈhelɪkɒptər/,vehicles,1f681,
rocket,rocket,火箭,/ˈrɒkɪt/,vehicles,1f680,
sailboat,sailboat,帆船,/ˈseɪlbəʊt/,vehicles,26f5,
ship,ship,轮船,/ʃɪp/,vehicles,1f6a2,
train,train,火车,/treɪn/,vehicles,1f682,
subway,subway,地铁,/ˈsʌbweɪ/,vehicles,1f687,
suv,SUV,越野车,/ˌes juː ˈviː/,vehicles,1f699,
lorry,lorry,大货车,/ˈlɒri/,vehicles,1f69b,
bullettrain,bullet train,高铁,/ˈbʊlɪt treɪn/,vehicles,1f684,
ferry,ferry,渡轮,/ˈferi/,vehicles,26f4_fe0f,
canoe,canoe,独木舟,/kəˈnuː/,vehicles,1f6f6,
racingcar,racing car,赛车,/ˈreɪsɪŋ kɑːr/,vehicles,1f3ce_fe0f,
tram,tram,有轨电车,/træm/,vehicles,1f68b,
sled,sled,雪橇,/sled/,vehicles,1f6f7,
ufo,UFO,飞碟,/ˌjuː ef ˈəʊ/,vehicles,1f6f8,
cablecar,cable car,缆车,/ˈkeɪbl kɑːr/,vehicles,1f6a0,
speedboat,speedboat,快艇,/ˈspiːdbəʊt/,vehicles,1f6a4,
red,red,红色,/red/,colors,2764_fe0f,
orange,orange,橙色,/ˈɒrɪndʒ/,colors,1f9e1,
yellow,yellow,黄色,/ˈjeləʊ/,colors,1f49b,
green,green,绿色,/ɡriːn/,colors,1f49a,
blue,blue,蓝色,/bluː/,colors,1f499,
purple,purple,紫色,/ˈpɜːpl/,colors,1f49c,
brown,brown,棕色,/braʊn/,colors,1f90e,
black,black,黑色,/blæk/,colors,1f5a4,
white,white,白色,/waɪt/,colors,1f90d,
pink,pink,粉色,/pɪŋk/,colors,1fa77,
one,one,一,/wʌn/,numbers,,1
two,two,二,/tuː/,numbers,,2
three,three,三,/θriː/,numbers,,3
four,four,四,/fɔːr/,numbers,,4
five,five,五,/faɪv/,numbers,,5
six,six,六,/sɪks/,numbers,,6
seven,seven,七,/ˈsevn/,numbers,,7
eight,eight,八,/eɪt/,numbers,,8
nine,nine,九,/naɪn/,numbers,,9
ten,ten,十,/ten/,numbers,,10
sun,sun,太阳,/sʌn/,nature,2600_fe0f,
moon,moon,月亮,/muːn/,nature,1f319,
star,star,星星,/stɑːr/,nature,2b50,
cloud,cloud,云,/klaʊd/,nature,2601_fe0f,
rainbow,rainbow,彩虹,/ˈreɪnbəʊ/,nature,1f308,
lightning,lightning,闪电,/ˈlaɪtnɪŋ/,nature,26a1,
snowman,snowman,雪人,/ˈsnəʊmæn/,nature,26c4,
snowflake,snowflake,雪花,/ˈsnəʊfleɪk/,nature,2744_fe0f,
umbrella,umbrella,雨伞,/ʌmˈbrelə/,nature,2614,
wave,wave,海浪,/weɪv/,nature,1f30a,
fire,fire,火,/ˈfaɪər/,nature,1f525,
earth,earth,地球,/ɜːθ/,nature,1f30d,
mountain,mountain,高山,/ˈmaʊntən/,nature,26f0_fe0f,
volcano,volcano,火山,/vɒlˈkeɪnəʊ/,nature,1f30b,
tornado,tornado,龙卷风,/tɔːˈneɪdəʊ/,nature,1f32a_fe0f,
wind,wind,风,/wɪnd/,nature,1f32c_fe0f,
fog,fog,雾,/fɒɡ/,nature,1f32b_fe0f,
tree,tree,大树,/triː/,nature,1f333,
flower,flower,花朵,/ˈflaʊər/,nature,1f338,
cactus,cactus,仙人掌,/ˈkæktəs/,nature,1f335,
eyes,eyes,眼睛,/aɪz/,body,1f440,
ear,ear,耳朵,/ɪər/,body,1f442,
nose,nose,鼻子,/nəʊz/,body,1f443,
mouth,mouth,嘴巴,/maʊθ/,body,1f444,
tongue,tongue,舌头,/tʌŋ/,body,1f445,
hand,hand,手,/hænd/,body,270b_fe0f,
foot,foot,脚,/fʊt/,body,1f9b6,
leg,leg,腿,/leɡ/,body,1f9b5,
tooth,tooth,牙齿,/tuːθ/,body,1f9b7,
brain,brain,大脑,/breɪn/,body,1f9e0,
tshirt,T-shirt,T恤,/ˈtiː ʃɜːt/,clothes,1f455,
jeans,jeans,牛仔裤,/dʒiːnz/,clothes,1f456,
dress,dress,连衣裙,/dres/,clothes,1f457,
shoe,shoe,鞋子,/ʃuː/,clothes,1f45f,
boots,boots,靴子,/buːts/,clothes,1f97e,
socks,socks,袜子,/sɒks/,clothes,1f9e6,
hat,hat,帽子,/hæt/,clothes,1f3a9,
cap,cap,鸭舌帽,/kæp/,clothes,1f9e2,
sunhat,sun hat,草帽,/sʌn hæt/,clothes,1f452,
glasses,glasses,眼镜,/ˈɡlɑːsɪz/,clothes,1f453,
scarf,scarf,围巾,/skɑːf/,clothes,1f9e3,
gloves,gloves,手套,/ɡlʌvz/,clothes,1f9e4,
coat,coat,外套,/kəʊt/,clothes,1f9e5,
crown,crown,王冠,/kraʊn/,clothes,1f451,
ring,ring,戒指,/rɪŋ/,clothes,1f48d,
watch,watch,手表,/wɒtʃ/,clothes,231a,
backpack,backpack,书包,/ˈbækpæk/,clothes,1f392,
slippers,slippers,拖鞋,/ˈslɪpəz/,clothes,1f97f,
book,book,书,/bʊk/,school,1f4d6,
pencil,pencil,铅笔,/ˈpensl/,school,270f_fe0f,
crayon,crayon,蜡笔,/ˈkreɪən/,school,1f58d_fe0f,
scissors,scissors,剪刀,/ˈsɪzəz/,school,2702_fe0f,
key,key,钥匙,/kiː/,home,1f511,
lock,lock,锁,/lɒk/,home,1f512,
hammer,hammer,锤子,/ˈhæmər/,home,1f528,
wrench,wrench,扳手,/rentʃ/,home,1f527,
bed,bed,床,/bed/,home,1f6cf_fe0f,
chair,chair,椅子,/tʃeər/,home,1fa91,
door,door,门,/dɔːr/,home,1f6aa,
window,window,窗户,/ˈwɪndəʊ/,home,1fa9f,
phone,phone,手机,/fəʊn/,home,1f4f1,
computer,computer,电脑,/kəmˈpjuːtər/,home,1f4bb,
tv,TV,电视,/ˌtiː ˈviː/,home,1f4fa,
camera,camera,照相机,/ˈkæmərə/,home,1f4f7,
flashlight,flashlight,手电筒,/ˈflæʃlaɪt/,home,1f526,
bulb,bulb,灯泡,/bʌlb/,home,1f4a1,
bell,bell,铃铛,/bel/,home,1f514,
clock,clock,闹钟,/klɒk/,home,23f0,
cup,cup,杯子,/kʌp/,home,2615,
house,house,房子,/haʊs/,places,1f3e0,
castle,castle,城堡,/ˈkɑːsl/,places,1f3f0,
school,school,学校,/skuːl/,places,1f3eb,
hospital,hospital,医院,/ˈhɒspɪtl/,places,1f3e5,
hotel,hotel,宾馆,/həʊˈtel/,places,1f3e8,
store,store,商店,/stɔːr/,places,1f3ea,
factory,factory,工厂,/ˈfæktəri/,places,1f3ed,
tent,tent,帐篷,/tent/,places,26fa_fe0f,
bridge,bridge,大桥,/brɪdʒ/,places,1f309,
beach,beach,海滩,/biːtʃ/,places,1f3d6_fe0f,
ferriswheel,ferris wheel,摩天轮,/ˈferɪs wiːl/,places,1f3a1,
rollercoaster,roller coaster,过山车,/ˈrəʊlər ˈkəʊstər/,places,1f3a2,
fountain,fountain,喷泉,/ˈfaʊntən/,places,26f2,
football,football,足球,/ˈfʊtbɔːl/,sports,26bd,
basketball,basketball,篮球,/ˈbɑːskɪtbɔːl/,sports,1f3c0,
rugby,rugby,橄榄球,/ˈrʌɡbi/,sports,1f3c8,
baseball,baseball,棒球,/ˈbeɪsbɔːl/,sports,26be,
tennis,tennis,网球,/ˈtenɪs/,sports,1f3be,
volleyball,volleyball,排球,/ˈvɒlibɔːl/,sports,1f3d0,
pingpong,ping-pong,乒乓球,/ˈpɪŋ pɒŋ/,sports,1f3d3,
badminton,badminton,羽毛球,/ˈbædmɪntən/,sports,1f3f8,
bowling,bowling,保龄球,/ˈbəʊlɪŋ/,sports,1f3b3,
golf,golf,高尔夫球,/ɡɒlf/,sports,1f3cc_fe0f,
archery,archery,射箭,/ˈɑːtʃəri/,sports,1f3f9,
dart,dart,飞镖,/dɑːt/,sports,1f3af,
kite,kite,风筝,/kaɪt/,toys,1fa81,
medal,medal,奖牌,/ˈmedl/,sports,1f947,
trophy,trophy,奖杯,/ˈtrəʊfi/,sports,1f3c6,
swimming,swimming,游泳,/ˈswɪmɪŋ/,sports,1f3ca,
skiing,skiing,滑雪,/ˈskiːɪŋ/,sports,1f3bf,
guitar,guitar,吉他,/ɡɪˈtɑːr/,music,1f3b8,
violin,violin,小提琴,/ˌvaɪəˈlɪn/,music,1f3bb,
drum,drum,鼓,/drʌm/,music,1f941,
piano,piano,钢琴,/piˈænəʊ/,music,1f3b9,
microphone,microphone,麦克风,/ˈmaɪkrəfəʊn/,music,1f3a4,
headphone,headphone,耳机,/ˈhedfəʊn/,music,1f3a7,
trumpet,trumpet,小号,/ˈtrʌmpɪt/,music,1f3ba,
saxophone,saxophone,萨克斯,/ˈsæksəfəʊn/,music,1f3b7,
banjo,banjo,班卓琴,/ˈbændʒəʊ/,music,1fa95,
music,music,音乐,/ˈmjuːzɪk/,music,1f3b5,
teddybear,teddy bear,泰迪熊,/ˈtedi beər/,toys,1f9f8,
balloon,balloon,气球,/bəˈluːn/,toys,1f388,
gift,gift,礼物,/ɡɪft/,toys,1f381,
party,party,派对,/ˈpɑːti/,toys,1f389,
yoyo,yo-yo,悠悠球,/ˈjəʊ jəʊ/,toys,1fa80,
dice,dice,骰子,/daɪs/,toys,1f3b2,
puzzle,puzzle,拼图,/ˈpʌzl/,toys,1f9e9,
paint,paint,颜料,/peɪnt/,toys,1f3a8,
circus,circus,马戏团,/ˈsɜːkəs/,toys,1f3aa,
carousel,carousel,旋转木马,/ˌkærəˈsel/,toys,1f3a0,
robot,robot,机器人,/ˈrəʊbɒt/,characters,1f916,
alien,alien,外星人,/ˈeɪliən/,characters,1f47d,
ghost,ghost,幽灵,/ɡəʊst/,characters,1f47b,
clown,clown,小丑,/klaʊn/,characters,1f921,
cowboy,cowboy,牛仔,/ˈkaʊbɔɪ/,characters,1f920,
santa,Santa,圣诞老人,/ˈsæntə/,characters,1f385,
policeofficer,police officer,警察,/pəˈliːs ˈɒfɪsər/,characters,1f46e,
wizard,wizard,巫师,/ˈwɪzəd/,characters,1f9d9,
fairy,fairy,仙女,/ˈfeəri/,characters,1f9da,
superhero,superhero,超级英雄,/ˈsuːpəhɪərəʊ/,characters,1f9b8,
run,run,跑步,/rʌn/,actions,1f3c3,
walk,walk,走路,/wɔːk/,actions,1f6b6,
dance,dance,跳舞,/dɑːns/,actions,1f483,
clap,clap,拍手,/klæp/,actions,1f44f,
strong,strong,力气大,/strɒŋ/,actions,1f4aa,
write,write,写字,/raɪt/,actions,270d_fe0f,
cartwheel,cartwheel,侧手翻,/ˈkɑːtwiːl/,actions,1f938,
yoga,yoga,瑜伽,/ˈjəʊɡə/,actions,1f9d8,
hug,hug,拥抱,/hʌɡ/,actions,1f917,
pray,pray,祈祷,/preɪ/,actions,1f64f,
happy,happy,开心,/ˈhæpi/,emotions,1f600,
laugh,laugh,大笑,/lɑːf/,emotions,1f602,
cool,cool,酷,/kuːl/,emotions,1f60e,
cry,cry,哭,/kraɪ/,emotions,1f62d,
angry,angry,生气,/ˈæŋɡri/,emotions,1f620,
scared,scared,害怕,/skeəd/,emotions,1f631,
sleepy,sleepy,困了,/ˈsliːpi/,emotions,1f634,
love,love,爱,/lʌv/,emotions,1f60d,
think,think,思考,/θɪŋk/,emotions,1f914,
silly,silly,傻乎乎,/ˈsɪli/,emotions,1f92a,
zero,zero,零,/ˈzɪərəʊ/,numbers,,0
eleven,eleven,十一,/ɪˈlevn/,numbers,,11
twelve,twelve,十二,/twelv/,numbers,,12
thirteen,thirteen,十三,/ˌθɜːˈtiːn/,numbers,,13
fourteen,fourteen,十四,/ˌfɔːˈtiːn/,numbers,,14
fifteen,fifteen,十五,/ˌfɪfˈtiːn/,numbers,,15
sixteen,sixteen,十六,/ˌsɪksˈtiːn/,numbers,,16
seventeen,seventeen,十七,/ˌsevnˈtiːn/,numbers,,17
eighteen,eighteen,十八,/ˌeɪˈtiːn/,numbers,,18
nineteen,nineteen,十九,/ˌnaɪnˈtiːn/,numbers,,19
twenty,twenty,二十,/ˈtwenti/,numbers,,20
a,A,字母A,/eɪ/,alphabet,,A
b,B,字母B,/biː/,alphabet,,B
c,C,字母C,/siː/,alphabet,,C
d,D,字母D,/diː/,alphabet,,D
e,E,字母E,/iː/,alphabet,,E
f,F,字母F,/ef/,alphabet,,F
g,G,字母G,/dʒiː/,alphabet,,G
h,H,字母H,/eɪtʃ/,alphabet,,H
i,I,字母I,/aɪ/,alphabet,,I
j,J,字母J,/dʒeɪ/,alphabet,,J
k,K,字母K,/keɪ/,alphabet,,K
l,L,字母L,/el/,alphabet,,L
m,M,字母M,/em/,alphabet,,M
n,N,字母N,/en/,alphabet,,N
o,O,字母O,/əʊ/,alphabet,,O
p,P,字母P,/piː/,alphabet,,P
q,Q,字母Q,/kjuː/,alphabet,,Q
r,R,字母R,/ɑː/,alphabet,,R
s,S,字母S,/es/,alphabet,,S
t,T,字母T,/tiː/,alphabet,,T
u,U,字母U,/juː/,alphabet,,U
v,V,字母V,/viː/,alphabet,,V
w,W,字母W,/ˈdʌbljuː/,alphabet,,W
x,X,字母X,/eks/,alphabet,,X
y,Y,字母Y,/waɪ/,alphabet,,Y
z,Z,字母Z,/zed/,alphabet,,Z
circle,circle,圆形,/ˈsɜːkl/,shapes,,circle
square,square,正方形,/skweə/,shapes,,square
triangle,triangle,三角形,/ˈtraɪæŋɡl/,shapes,,triangle
rectangle,rectangle,长方形,/ˈrektæŋɡl/,shapes,,rectangle
oval,oval,椭圆形,/ˈəʊvl/,shapes,,oval
diamond,diamond,菱形,/ˈdaɪmənd/,shapes,,diamond
pentagon,pentagon,五边形,/ˈpentəɡən/,shapes,,pentagon
hexagon,hexagon,六边形,/ˈheksəɡən/,shapes,,hexagon
cross,cross,十字形,/krɒs/,shapes,,cross
arrow,arrow,箭头,/ˈærəʊ/,shapes,,arrow
line,line,线条,/laɪn/,shapes,,line
crescent,crescent,月牙形,/ˈkresnt/,shapes,,crescent
bone,bone,骨头,/bəʊn/,body,1f9b4,
heart,heart,心脏,/hɑːt/,body,1fac0,
lungs,lungs,肺,/lʌŋz/,body,1fac1,
hair,hair,头发,/heə/,body,,hair
finger,finger,手指,/ˈfɪŋɡə/,body,261d,finger
arm,arm,手臂,/ɑːm/,body,,arm
knee,knee,膝盖,/niː/,body,,knee
shoulder,shoulder,肩膀,/ˈʃəʊldə/,body,,shoulder
face,face,脸,/feɪs/,body,,face
back,back,后背,/bæk/,body,,back
leopard,leopard,豹子,/ˈlepəd/,animals,1f406,
otter,otter,水獭,/ˈɒtə/,animals,1f9a6,
skunk,skunk,臭鼬,/skʌŋk/,animals,1f9a8,
badger,badger,獾,/ˈbædʒə/,animals,1f9a1,
beaver,beaver,河狸,/ˈbiːvə/,animals,1f9ab,
raccoon,raccoon,浣熊,/rəˈkuːn/,animals,1f99d,
bison,bison,野牛,/ˈbaɪsn/,animals,1f9ac,
llama,llama,羊驼,/ˈlɑːmə/,animals,1f999,
bat,bat,蝙蝠,/bæt/,animals,1f987,
rat,rat,大老鼠,/ræt/,animals,1f400,
tangerine,tangerine,橘子,/ˈtændʒəriːn/,fruits,1f34a,
plum,plum,李子,/plʌm/,fruits,,plum
magicwand,magic wand,魔法棒,/ˈmædʒɪk wɒnd/,toys,1fa84,
crystalball,crystal ball,水晶球,/ˈkrɪstl bɔːl/,toys,1f52e,
puppet,puppet,套娃,/ˈpʌpɪt/,toys,1fa86,
blocks,blocks,积木,/blɒks/,toys,,blocks
slide,slide,滑梯,/slaɪd/,toys,1f6dd,slide
swing,swing,秋千,/swɪŋ/,toys,,swing
seesaw,seesaw,跷跷板,/ˈsiːsɔː/,toys,,seesaw
trampoline,trampoline,蹦床,/ˈtræmpəliːn/,toys,,trampoline
bacon,bacon,培根,/ˈbeɪkən/,food,1f953,
steak,steak,牛排,/steɪk/,food,1f969,
salad,salad,沙拉,/ˈsæləd/,food,1f957,
soup,soup,汤,/suːp/,food,1f372,
sandwich,sandwich,三明治,/ˈsænwɪdʒ/,food,1f96a,
taco,taco,墨西哥卷饼,/ˈtækəʊ/,food,1f32e,
burrito,burrito,墨西哥饭卷,/bəˈriːtəʊ/,food,1f32f,
pancake,pancake,煎饼,/ˈpænkæk/,food,1f95e,
croissant,croissant,牛角面包,/ˈkrwɑːsəʊ/,food,1f950,
bagel,bagel,贝果,/ˈbeɪɡl/,food,1f96f,
pretzel,pretzel,椒盐卷饼,/ˈpretsl/,food,1f968,
popcorn,popcorn,爆米花,/ˈpɒpkɔːn/,food,1f37f,
butter,butter,黄油,/ˈbʌtə/,food,1f9c8,
dumpling,dumpling,饺子,/ˈdʌmplɪŋ/,food,1f95f,
bento,bento,便当,/ˈbentəʊ/,food,1f371,
curry,curry,咖喱饭,/ˈkʌri/,food,1f35b,
toast,toast,吐司,/təʊst/,food,,toast
cereal,cereal,麦片,/ˈsɪəriəl/,food,,cereal
porridge,porridge,粥,/ˈpɒrɪdʒ/,food,,porridge
tofu,tofu,豆腐,/ˈtəʊfuː/,food,,tofu
jam,jam,果酱,/dʒæm/,food,,jam
yogurt,yogurt,酸奶,/ˈjɒɡət/,food,,yogurt
sausage,sausage,香肠,/ˈsɒsɪdʒ/,food,,sausage
meatball,meatball,肉丸子,/ˈmiːtbɔːl/,food,,meatball
sugar,sugar,糖,/ˈʃʊɡə/,food,,sugar
flour,flour,面粉,/ˈflaʊə/,food,,flour
snack,snack,零食,/snæk/,food,,snack
breakfast,breakfast,早餐,/ˈbrekfəst/,food,,breakfast
lunch,lunch,午餐,/lʌntʃ/,food,,lunch
dinner,dinner,晚餐,/ˈdɪnə/,food,,dinner
cabbage,cabbage,卷心菜,/ˈkæbɪdʒ/,vegetables,1f96c,
beans,beans,豆子,/biːnz/,vegetables,1fad8,beans
peas,peas,豌豆,/piːz/,vegetables,1fad1,peas
ginger,ginger,姜,/ˈdʒɪndʒə/,vegetables,1fada,ginger
lotusroot,lotus root,莲藕,/ˈləʊtəs ruːt/,vegetables,,lotus root
beansprout,bean sprout,豆芽,/biːn spraʊt/,vegetables,,bean sprout
cupcake,cupcake,纸杯蛋糕,/ˈkʌpkeɪk/,desserts,1f9c1,
pie,pie,馅饼,/paɪ/,desserts,1f967,
lollipop,lollipop,棒棒糖,/ˈlɒlipɒp/,desserts,1f36d,
birthdaycake,birthday cake,生日蛋糕,/ˈbɜːθdeɪ keɪk/,desserts,1f382,
pudding,pudding,布丁,/ˈpʊdɪŋ/,desserts,1f36e,
shavedice,shaved ice,刨冰,/ʃeɪvd aɪs/,desserts,1f367,
sundae,sundae,圣代冰淇淋,/ˈsʌndeɪ/,desserts,1f368,
jelly,jelly,果冻,/ˈdʒeli/,desserts,,jelly
marshmallow,marshmallow,棉花糖,/ˌmɑːʃˈmæləʊ/,desserts,,marshmallow
bubblegum,bubble gum,泡泡糖,/ˈbʌbl ɡʌm/,desserts,,bubble gum
milkshake,milkshake,奶昔,/ˈmɪlkʃeɪk/,desserts,,milkshake
brownie,brownie,布朗尼,/ˈbraʊni/,desserts,,brownie
muffin,muffin,玛芬蛋糕,/ˈmʌfɪn/,desserts,,muffin
macaron,macaron,马卡龙,/ˌmækəˈrɒn/,desserts,,macaron
cheesecake,cheesecake,芝士蛋糕,/ˈtʃiːzkeɪk/,desserts,,cheesecake
icepop,ice pop,冰棍,/aɪs pɒp/,desserts,,ice pop
gummy,gummy,软糖,/ˈɡʌmi/,desserts,,gummy
juice,juice,果汁,/dʒuːs/,drinks,1f9c3,
soda,soda,汽水,/ˈsəʊdə/,drinks,1f964,
tea,tea,茶,/tiː/,drinks,1f375,
bubbletea,bubble tea,珍珠奶茶,/ˈbʌbl tiː/,drinks,1f9cb,
water,water,水,/ˈwɔːtə/,drinks,1f4a7,
coffee,coffee,咖啡,/ˈkɒfi/,drinks,,coffee
cocoa,cocoa,可可,/ˈkəʊkəʊ/,drinks,,cocoa
lemonade,lemonade,柠檬水,/ˌleməˈneɪd/,drinks,,lemonade
soymilk,soy milk,豆浆,/sɔɪ mɪlk/,drinks,,soy milk
smoothie,smoothie,思慕雪,/ˈsmuːði/,drinks,,smoothie
