char,pinyin,word,level
叶,yè,树叶,3
森,sēn,森林,3
林,lín,竹林,3
河,hé,小河,3
海,hǎi,大海,3
洋,yáng,海洋,3
岛,dǎo,海岛,3
池,chí,水池,3
晴,qíng,晴天,3
阴,yīn,阴天,3
雪,xuě,雪花,3
电,diàn,电视,3
雾,wù,大雾,3
虹,hóng,彩虹,3
时,shí,时间,3
分,fēn,分钟,3
今,jīn,今天,3
昨,zuó,昨天,3
象,xiàng,大象,3
狮,shī,狮子,3
熊,xióng,小熊,3
狼,láng,大灰狼,3
鹿,lù,小鹿,3
蛇,shé,蟒蛇,3
鼠,shǔ,老鼠,3
蚁,yǐ,蚂蚁,3
蝶,dié,蝴蝶,3
蜂,fēng,蜜蜂,3
蝉,chán,蝉鸣,3
眉,méi,眉毛,3
心,xīn,开心,3
胃,wèi,肠胃,3
骨,gǔ,骨头,3
肉,ròu,牛肉,3
校,xiào,学校,3
班,bān,班级,3
课,kè,上课,3
本,běn,课本,3
字,zì,生字,3
词,cí,词语,3
句,jù,句子,3
帮,bāng,帮忙,3
助,zhù,助手,3
教,jiāo,教书,3
学,xué,学习,3
问,wèn,问题,3
答,dá,回答,3
高,gāo,高兴,3
兴,xīng,兴奋,3
哭,kū,大哭,3
笑,xiào,大笑,3
怕,pà,害怕,3
城,chéng,城市,3
村,cūn,农村,3
街,jiē,街道,3
医,yī,医院,3
院,yuàn,院子,3
店,diàn,商店,3
面,miàn,面包,3
饭,fàn,米饭,3
蛋,dàn,鸡蛋,3
油,yóu,加油,3
盐,yán,盐巴,3
糖,táng,糖果,3
茶,chá,喝茶,3
桌,zhuō,课桌,3
椅,yǐ,椅子,3
碗,wǎn,饭碗,3
盘,pán,盘子,3
杯,bēi,水杯,3
锅,guō,铁锅,3
灯,dēng,电灯,3
沙,shā,沙子,3
光,guāng,阳光,3
影,yǐng,影子,3
声,shēng,声音,3
色,sè,颜色,3
甜,tián,香甜,3
苦,kǔ,苦瓜,3
辣,là,麻辣,3
圆,yuán,圆圆,3
方,fāng,方圆,3
快,kuài,飞快,3
慢,màn,慢慢,3
远,yuǎn,远近,3
近,jìn,近处,3
里,lǐ,家里,3
外,wài,外面,3
岁,suì,年岁,3
美,měi,美丽,3
丑,chǒu,小丑,3
新,xīn,新年,3
旧,jiù,旧书,3
干,gān,干净,3
净,jìng,洁净,3
脏,zāng,弄脏,3
满,mǎn,满意,3
百,bǎi,百万,4
千,qiān,千秋,4
元,yuán,一元,4
角,jiǎo,一角,4
斤,jīn,公斤,4
音,yīn,音乐,4
歌,gē,唱歌,4
舞,wǔ,跳舞,4
球,qiú,皮球,4
队,duì,排队,4
赛,sài,比赛,4
运,yùn,运动,4
动,dòng,动手,4
洲,zhōu,亚洲,4
陆,lù,陆地,4
谷,gǔ,山谷,4
力,lì,力气,4
霜,shuāng,霜降,4
露,lù,露水,4
雷,léi,打雷,4
晨,chén,清晨,4
夜,yè,夜晚,4
军,jūn,军人,4
警,jǐng,警察,4
农,nóng,农民,4
工,gōng,工人,4
商,shāng,商场,4
礼,lǐ,礼貌,4
让,ràng,让座,4
勇,yǒng,勇敢,4
敢,gǎn,敢于,4
诚,chéng,诚实,4
惊,jīng,惊喜,4
喜,xǐ,欢喜,4
提,tí,提问,4
搬,bān,搬家,4
挑,tiāo,挑选,4
抬,tái,抬头,4
接,jiē,接住,4
送,sòng,送货,4
顽,wán,顽皮,4
皮,pí,顽皮,4
勤,qín,勤劳,4
劳,láo,劳动,4
度,dù,温度,4
秒,miǎo,秒针,4
被,bèi,被子,4
把,bǎ,把手,4
邻,lín,邻居,4
居,jū,居住,4
国,guó,国家,4
旗,qí,国旗,4
庆,qìng,庆祝,4
祝,zhù,祝福,4
贺,hè,贺卡,4
拳,quán,拳头,4
掌,zhǎng,手掌,4
琴,qín,弹琴,4
棋,qí,下棋,4
墨,mò,墨水,4
砚,yàn,砚台,4
诗,shī,古诗,4
聪,cōng,聪明,4
智,zhì,智力,4
慧,huì,智慧,4
良,liáng,善良,4
善,shàn,友善,4
信,xìn,信心,4
念,niàn,想念,4
激,jī,感激,4
