id,en,zh,phonetic,category,emoji,draw
sweetpotato,sweet potato,红薯,/ˈswiːt pəˈteɪtəʊ/,vegetables,1f360,
egg,egg,鸡蛋,/eɡ/,food,1f95a,
bread,bread,面包,/bred/,food,1f35e,
hamburger,hamburger,汉堡,/ˈhæmbɜːɡər/,food,1f354,
fries,fries,薯条,/fraɪz/,food,1f35f,
pizza,pizza,披萨,/ˈpiːtsə/,food,1f355,
hotdog,hot dog,热狗,/ˈhɒt dɒɡ/,food,1f32d,
milk,milk,牛奶,/mɪlk/,food,1f95b,
cake,cake,蛋糕,/keɪk/,food,1f370,
icecream,ice cream,冰淇淋,/ˌaɪs ˈkriːm/,food,1f366,
cookie,cookie,饼干,/ˈkʊki/,food,1f36a,
donut,donut,甜甜圈,/ˈdəʊnʌt/,food,1f369,
chocolate,chocolate,巧克力,/ˈtʃɒklət/,food,1f36b,
candy,candy,糖果,/ˈkændi/,food,1f36c,
honey,honey,蜂蜜,/ˈhʌni/,food,1f36f,
noodles,noodles,面条,/ˈnuːdlz/,food,1f35c,
rice,rice,米饭,/raɪs/,food,1f35a,
sushi,sushi,寿司,/ˈsuːʃi/,food,1f363,
pasta,pasta,意面,/ˈpæstə/,food,1f35d,
drumstick,drumstick,鸡腿,/ˈdrʌmstɪk/,food,1f357,
cheese,cheese,奶酪,/tʃiːz/,food,1f9c0,
car,car,小汽车,/kɑːr/,vehicles,1f697,
taxi,taxi,出租车,/ˈtæksi/,vehicles,1f695,
bus,bus,公共汽车,/bʌs/,vehicles,1f68c,
van,van,面包车,/væn/,vehicles,1f690,
ambulance,ambulance,救护车,/ˈæmbjələns/,vehicles,1f691,
firetruck,fire truck,消防车,/ˈfaɪər trʌk/,vehicles,1f692,
policecar,police car,警车,/pəˈliːs kɑːr/,vehicles,1f693,
truck,truck,卡车,/trʌk/,vehicles,1f69a,
tractor,tractor,拖拉机,/ˈtræktər/,vehicles,1f69c,
bicycle,bicycle,自行车,/ˈbaɪsɪkl/,vehicles,1f6b2,
scooter,scooter,滑板车,/ˈskuːtər/,vehicles,1f6f4,
motorcycle,motorcycle,摩托车,/ˈməʊtəsaɪkl/,vehicles,1f3cd,
airplane,airplane,飞机,/ˈeəpleɪn/,vehicles,2708_fe0f,
helicopter,helicopter,直升机,/ˈhelɪkɒptər/,vehicles,1f681,
rocket,rocket,火箭,/ˈrɒkɪt/,vehicles,1f680,
sailboat,sailboat,帆船,/ˈseɪlbəʊt/,vehicles,26f5,
ship,ship,轮船,/ʃɪp/,vehicles,1f6a2,
train,train,火车,/treɪn/,vehicles,1f682,
subway,subway,地铁,/ˈsʌbweɪ/,vehicles,1f687,
suv,SUV,越野车,/ˌes juː ˈviː/,vehicles,1f699,
lorry,lorry,大货车,/ˈlɒri/,vehicles,1f69b,
bullettrain,bullet train,高铁,/ˈbʊlɪt treɪn/,vehicles,1f684,
ferry,ferry,渡轮,/ˈferi/,vehicles,26f4_fe0f,
canoe,canoe,独木舟,/kəˈnuː/,vehicles,1f6f6,
racingcar,racing car,赛车,/ˈreɪsɪŋ kɑːr/,vehicles,1f3ce_fe0f,
tram,tram,有轨电车,/træm/,vehicles,1f68b,
sled,sled,雪橇,/sled/,vehicles,1f6f7,
ufo,UFO,飞碟,/ˌjuː ef ˈəʊ/,vehicles,1f6f8,
cablecar,cable car,缆车,/ˈkeɪbl kɑːr/,vehicles,1f6a0,
speedboat,speedboat,快艇,/ˈspiːdbəʊt/,vehicles,1f6a4,
red,red,红色,/red/,colors,2764_fe0f,
orange,orange,橙色,/ˈɒrɪndʒ/,colors,1f9e1,
yellow,yellow,黄色,/ˈjeləʊ/,colors,1f49b,
green,green,绿色,/ɡriːn/,colors,1f49a,
blue,blue,蓝色,/bluː/,colors,1f499,
purple,purple,紫色,/ˈpɜːpl/,colors,1f49c,
brown,brown,棕色,/braʊn/,colors,1f90e,
black,black,黑色,/blæk/,colors,1f5a4,
white,white,白色,/waɪt/,colors,1f90d,
pink,pink,粉色,/pɪŋk/,colors,1fa77,
one,one,一,/wʌn/,numbers,,1
two,two,二,/tuː/,numbers,,2
three,three,三,/θriː/,numbers,,3
four,four,四,/fɔːr/,numbers,,4
five,five,五,/faɪv/,numbers,,5
six,six,六,/sɪks/,numbers,,6
seven,seven,七,/ˈsevn/,numbers,,7
eight,eight,八,/eɪt/,numbers,,8
nine,nine,九,/naɪn/,numbers,,9
ten,ten,十,/ten/,numbers,,10
sun,sun,太阳,/sʌn/,nature,2600_fe0f,
moon,moon,月亮,/muːn/,nature,1f319,
star,star,星星,/stɑːr/,nature,2b50,
cloud,cloud,云,/klaʊd/,nature,2601_fe0f,
rainbow,rainbow,彩虹,/ˈreɪnbəʊ/,nature,1f308,
lightning,lightning,闪电,/ˈlaɪtnɪŋ/,nature,26a1,
snowman,snowman,雪人,/ˈsnəʊmæn/,nature,26c4,
snowflake,snowflake,雪花,/ˈsnəʊfleɪk/,nature,2744_fe0f,
umbrella,umbrella,雨伞,/ʌmˈbrelə/,nature,2614,
wave,wave,海浪,/weɪv/,nature,1f30a,
fire,fire,火,/ˈfaɪər/,nature,1f525,
earth,earth,地球,/ɜːθ/,nature,1f30d,
mountain,mountain,高山,/ˈmaʊntən/,nature,26f0_fe0f,
volcano,volcano,火山,/vɒlˈkeɪnəʊ/,nature,1f30b,
tornado,tornado,龙卷风,/tɔːˈneɪdəʊ/,nature,1f32a_fe0f,
wind,wind,风,/wɪnd/,nature,1f32c_fe0f,
fog,fog,雾,/fɒɡ/,nature,1f32b_fe0f,
tree,tree,大树,/triː/,nature,1f333,
flower,flower,花朵,/ˈflaʊər/,nature,1f338,
cactus,cactus,仙人掌,/ˈkæktəs/,nature,1f335,
eyes,eyes,眼睛,/aɪz/,body,1f440,
ear,ear,耳朵,/ɪər/,body,1f442,
nose,nose,鼻子,/nəʊz/,body,1f443,
mouth,mouth,嘴巴,/maʊθ/,body,1f444,
tongue,tongue,舌头,/tʌŋ/,body,1f445,
hand,hand,手,/hænd/,body,270b_fe0f,
foot,foot,脚,/fʊt/,body,1f9b6,
leg,leg,腿,/leɡ/,body,1f9b5,
tooth,tooth,牙齿,/tuːθ/,body,1f9b7,
brain,brain,大脑,/breɪn/,body,1f9e0,
tshirt,T-shirt,T恤,/ˈtiː ʃɜːt/,clothes,1f455,
jeans,jeans,牛仔裤,/dʒiːnz/,clothes,1f456,
dress,dress,连衣裙,/dres/,clothes,1f457,
shoe,shoe,鞋子,/ʃuː/,clothes,1f45f,
boots,boots,靴子,/buːts/,clothes,1f97e,
socks,socks,袜子,/sɒks/,clothes,1f9e6,
hat,hat,帽子,/hæt/,clothes,1f3a9,
cap,cap,鸭舌帽,/kæp/,clothes,1f9e2,
sunhat,sun hat,草帽,/sʌn hæt/,clothes,1f452,
glasses,glasses,眼镜,/ˈɡlɑːsɪz/,clothes,1f453,
scarf,scarf,围巾,/skɑːf/,clothes,1f9e3,
gloves,gloves,手套,/ɡlʌvz/,clothes,1f9e4,
coat,coat,外套,/kəʊt/,clothes,1f9e5,
crown,crown,王冠,/kraʊn/,clothes,1f451,
ring,ring,戒指,/rɪŋ/,clothes,1f48d,
watch,watch,手表,/wɒtʃ/,clothes,231a,
backpack,backpack,书包,/ˈbækpæk/,clothes,1f392,
slippers,slippers,拖鞋,/ˈslɪpəz/,clothes,1f97f,
book,book,书,/bʊk/,home,1f4d6,
pencil,pencil,铅笔,/ˈpensl/,home,270f_fe0f,
crayon,crayon,蜡笔,/ˈkreɪən/,home,1f58d_fe0f,
scissors,scissors,剪刀,/ˈsɪzəz/,home,2702_fe0f,
key,key,钥匙,/kiː/,home,1f511,
lock,lock,锁,/lɒk/,home,1f512,
hammer,hammer,锤子,/ˈhæmər/,home,1f528,
wrench,wrench,扳手,/rentʃ/,home,1f527,
bed,bed,床,/bed/,home,1f6cf_fe0f,
chair,chair,椅子,/tʃeər/,home,1fa91,
door,door,门,/dɔːr/,home,1f6aa,
window,window,窗户,/ˈwɪndəʊ/,home,1fa9f,
phone,phone,手机,/fəʊn/,home,1f4f1,
computer,computer,电脑,/kəmˈpjuːtər/,home,1f4bb,
tv,TV,电视,/ˌtiː ˈviː/,home,1f4fa,
camera,camera,照相机,/ˈkæmərə/,home,1f4f7,
flashlight,flashlight,手电筒,/ˈflæʃlaɪt/,home,1f526,
bulb,bulb,灯泡,/bʌlb/,home,1f4a1,
bell,bell,铃铛,/bel/,home,1f514,
clock,clock,闹钟,/klɒk/,home,23f0,
cup,cup,杯子,/kʌp/,home,2615,
house,house,房子,/haʊs/,places,1f3e0,
castle,castle,城堡,/ˈkɑːsl/,places,1f3f0,
school,school,学校,/skuːl/,places,1f3eb,
hospital,hospital,医院,/ˈhɒspɪtl/,places,1f3e5,
hotel,hotel,宾馆,/həʊˈtel/,places,1f3e8,
store,store,商店,/stɔːr/,places,1f3ea,
factory,factory,工厂,/ˈfæktəri/,places,1f3ed,
tent,tent,帐篷,/tent/,places,26fa_fe0f,
bridge,bridge,大桥,/brɪdʒ/,places,1f309,
beach,beach,海滩,/biːtʃ/,places,1f3d6_fe0f,
ferriswheel,ferris wheel,摩天轮,/ˈferɪs wiːl/,places,1f3a1,
rollercoaster,roller coaster,过山车,/ˈrəʊlər ˈkəʊstər/,places,1f3a2,
fountain,fountain,喷泉,/ˈfaʊntən/,places,26f2,
football,football,足球,/ˈfʊtbɔːl/,sports,26bd,
basketball,basketball,篮球,/ˈbɑːskɪtbɔːl/,sports,1f3c0,
rugby,rugby,橄榄球,/ˈrʌɡbi/,sports,1f3c8,
baseball,baseball,棒球,/ˈbeɪsbɔːl/,sports,26be,
tennis,tennis,网球,/ˈtenɪs/,sports,1f3be,
volleyball,volleyball,排球,/ˈvɒlibɔːl/,sports,1f3d0,
pingpong,ping-pong,乒乓球,/ˈpɪŋ pɒŋ/,sports,1f3d3,
badminton,badminton,羽毛球,/ˈbædmɪntən/,sports,1f3f8,
bowling,bowling,保龄球,/ˈbəʊlɪŋ/,sports,1f3b3,
golf,golf,高尔夫球,/ɡɒlf/,sports,1f3cc_fe0f,
archery,archery,射箭,/ˈɑːtʃəri/,sports,1f3f9,
dart,dart,飞镖,/dɑːt/,sports,1f3af,
kite,kite,风筝,/kaɪt/,sports,1fa81,
medal,medal,奖牌,/ˈmedl/,sports,1f947,
trophy,trophy,奖杯,/ˈtrəʊfi/,sports,1f3c6,
swimming,swimming,游泳,/ˈswɪmɪŋ/,sports,1f3ca,
skiing,skiing,滑雪,/ˈskiːɪŋ/,sports,1f3bf,
guitar,guitar,吉他,/ɡɪˈtɑːr/,music,1f3b8,
violin,violin,小提琴,/ˌvaɪəˈlɪn/,music,1f3bb,
drum,drum,鼓,/drʌm/,music,1f941,
piano,piano,钢琴,/piˈænəʊ/,music,1f3b9,
microphone,microphone,麦克风,/ˈmaɪkrəfəʊn/,music,1f3a4,
headphone,headphone,耳机,/ˈhedfəʊn/,music,1f3a7,
trumpet,trumpet,小号,/ˈtrʌmpɪt/,music,1f3ba,
saxophone,saxophone,萨克斯,/ˈsæksəfəʊn/,music,1f3b7,
banjo,banjo,班卓琴,/ˈbændʒəʊ/,music,1fa95,
music,music,音乐,/ˈmjuːzɪk/,music,1f3b5,
teddybear,teddy bear,泰迪熊,/ˈtedi beər/,toys,1f9f8,
balloon,balloon,气球,/bəˈluːn/,toys,1f388,
gift,gift,礼物,/ɡɪft/,toys,1f381,
party,party,派对,/ˈpɑːti/,toys,1f389,
yoyo,yo-yo,悠悠球,/ˈjəʊ jəʊ/,toys,1fa80,
dice,dice,骰子,/daɪs/,toys,1f3b2,
puzzle,puzzle,拼图,/ˈpʌzl/,toys,1f9e9,
paint,paint,颜料,/peɪnt/,toys,1f3a8,
circus,circus,马戏团,/ˈsɜːkəs/,toys,1f3aa,
carousel,carousel,旋转木马,/ˌkærəˈsel/,toys,1f3a0,
robot,robot,机器人,/ˈrəʊbɒt/,characters,1f916,
alien,alien,外星人,/ˈeɪliən/,characters,1f47d,
ghost,ghost,幽灵,/ɡəʊst/,characters,1f47b,
clown,clown,小丑,/klaʊn/,characters,1f921,
cowboy,cowboy,牛仔,/ˈkaʊbɔɪ/,characters,1f920,
santa,Santa,圣诞老人,/ˈsæntə/,characters,1f385,
policeofficer,police officer,警察,/pəˈliːs ˈɒfɪsər/,characters,1f46e,
wizard,wizard,巫师,/ˈwɪzəd/,characters,1f9d9,
fairy,fairy,仙女,/ˈfeəri/,characters,1f9da,
superhero,superhero,超级英雄,/ˈsuːpəhɪərəʊ/,characters,1f9b8,
run,run,跑步,/rʌn/,actions,1f3c3,
walk,walk,走路,/wɔːk/,actions,1f6b6,
dance,dance,跳舞,/dɑːns/,actions,1f483,
clap,clap,拍手,/klæp/,actions,1f44f,
strong,strong,力气大,/strɒŋ/,actions,1f4aa,
write,write,写字,/raɪt/,actions,270d_fe0f,
cartwheel,cartwheel,侧手翻,/ˈkɑːtwiːl/,actions,1f938,
yoga,yoga,瑜伽,/ˈjəʊɡə/,actions,1f9d8,
hug,hug,拥抱,/hʌɡ/,actions,1f917,
pray,pray,祈祷,/preɪ/,actions,1f64f,
happy,happy,开心,/ˈhæpi/,emotions,1f600,
laugh,laugh,大笑,/lɑːf/,emotions,1f602,
cool,cool,酷,/kuːl/,emotions,1f60e,
cry,cry,哭,/kraɪ/,emotions,1f62d,
angry,angry,生气,/ˈæŋɡri/,emotions,1f620,
scared,scared,害怕,/skeəd/,emotions,1f631,
sleepy,sleepy,困了,/ˈsliːpi/,emotions,1f634,
love,love,爱,/lʌv/,emotions,1f60d,
think,think,思考,/θɪŋk/,emotions,1f914,
silly,silly,傻乎乎,/ˈsɪli/,emotions,1f92a,
